voltage,current,left,right,radius,radius_m,unc,r^2,uncertainty,em,errorbar
130,1.00,6.65,13.10,9.875,0.09875,3.54E-04,9.7516E-03,1.25E-07,2.69E+11,5.91E+09
150,1.00,6.15,13.10,9.625,0.09625,3.54E-04,9.2641E-03,1.25E-07,2.68E+11,5.45E+09
170,1.00,6.15,13.10,9.625,0.09625,3.54E-04,9.2641E-03,1.25E-07,3.03E+11,6.17E+09
190,1.00,5.90,13.20,9.550,0.09550,3.54E-04,9.1203E-03,1.25E-07,3.07E+11,5.95E+09
210,1.00,5.75,14.15,9.950,0.09950,3.54E-04,9.9003E-03,1.25E-07,2.57E+11,4.32E+09
