voltage,current,left,right,radius,radius_m,unc,r^2,uncertainty,em,errorbar
130,2.00,8.50,11.10,9.800,0.09800,3.54E-04,9.6040E-03,1.25E-07,4.14E+11,2.25E+10
150,2.00,8.60,11.70,10.150,0.10150,3.54E-04,1.0302E-02,1.25E-07,3.36E+11,1.53E+10
170,2.00,8.30,11.80,10.050,0.10050,3.54E-04,1.0100E-02,1.25E-07,2.99E+11,1.21E+10
190,2.00,8.00,12.00,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.56E+11,9.05E+09
210,2.00,7.95,12.15,10.050,0.10050,3.54E-04,1.0100E-02,1.25E-07,2.57E+11,8.64E+09
