q_parallel,Intensity,errorbar
1.55E-01,0.001515855,0.002319699
0.172180474,0.003174422,0.002499073
0.189003844,0.01073935,0.002924954
0.197330448,0.011521089,0.002994067
0.205596943,0.017011499,0.003234616
0.209706862,0.018189514,0.003352826
0.213800811,0.026459352,0.003621805
0.217878478,0.024816312,0.003584334
0.221939553,0.029044776,0.003729082
0.225983726,0.041145833,0.00416708
0.23001069,0.037800922,0.004039944
0.234020138,0.03805193,0.004065241
0.238011764,0.029211496,0.003803442
0.241985264,0.028169132,0.003792458
0.245940337,0.021553507,0.003605447
0.24987668,0.019228234,0.003534294
0.253793994,0.013108678,0.003324862
0.261570343,0.010835713,0.003277541
0.269267015,0.005168245,0.003118773
0.276881666,0.006841361,0.003177217
0.291855652,0.006277629,0.003248606
0.306474056,0.000613122,0.00311283
