voltage,current,left,right,radius,radius_m,unc,r^2,uncertainty,em,errorbar
130,1.25,7.45,12.60,10.025,0.10025,3.54E-04,1.0050E-02,1.25E-07,2.70E+11,7.42E+09
150,1.25,7.10,12.40,9.750,0.09750,3.54E-04,9.5063E-03,1.25E-07,2.95E+11,7.86E+09
170,1.25,7.20,12.75,9.975,0.09975,3.54E-04,9.9501E-03,1.25E-07,3.04E+11,7.76E+09
190,1.25,6.90,13.05,9.975,0.09975,3.54E-04,9.9501E-03,1.25E-07,2.77E+11,6.37E+09
210,1.25,6.60,12.95,9.775,0.09775,3.54E-04,9.5551E-03,1.25E-07,2.87E+11,6.40E+09
