q_parallel,Intensity,errorbar
0.155147328,0.004094871,0.002069318
0.172180474,0.001687726,0.002056458
0.189003844,0.010905751,0.002509547
0.197330448,0.010690271,0.002539083
0.205596943,0.020495186,0.003342052
0.209706862,0.016395702,0.002792464
0.213800811,0.022177513,0.002994466
0.217878478,0.023927563,0.003051297
0.221939553,0.025060438,0.003113057
0.225983726,0.031142096,0.00331884
0.23001069,0.033303421,0.003392516
0.234020138,0.028321971,0.003251465
0.238011764,0.031276508,0.00336309
0.241985264,0.024639205,0.003192456
0.245940337,0.019642427,0.003045036
0.24987668,0.017229431,0.003004549
0.253793994,0.013709363,0.002872687
0.261570343,0.013484978,0.002928629
0.269267015,0.009298684,0.002821677
0.276881666,0.006968675,0.00321939
0.291855652,0.005084231,0.002793854
0.306474056,0.001401112,0.002758576
