q_parallel,Intensity,errorbar
0.111783443,0.002864595,0.00161248
0.137925159,0.000363013,0.001582662
0.155147328,0.001441294,0.001631964
0.172180474,-0.001636491,0.001579052
0.189003844,0.003895638,0.001738839
0.197330448,0.003389448,0.001740195
0.205596943,0.003421907,0.001746469
0.209706862,0.00497974,0.001792264
0.213800811,0.008221886,0.001878115
0.217878478,0.006648988,0.001841516
0.221939553,0.007979364,0.001881033
0.225983726,0.011708388,0.001976412
0.23001069,0.0092978,0.001923407
0.234020138,0.008142834,0.001899247
0.238011764,0.009132298,0.001922186
0.241985264,0.009902103,0.001950643
0.245940337,0.006521864,0.001883416
0.24987668,0.00884132,0.001944143
0.253793994,0.006884547,0.001898301
0.261570343,0.005058989,0.001865936
0.269267015,0.005478606,0.001512591
0.276881666,0.004197527,0.001498234
0.291855652,0.00278128,0.001489495
0.306474056,0.001176952,0.001485035
0.320719069,0.001581156,0.001521169
0.341348645,0.000129478,0.001616058
