q_parallel,Intensity,errorbar
0.155147328,0.001758752,0.00164539
0.163688831,0.00355189,0.00171383
0.172180474,0.005649146,0.001793328
0.180619668,0.00285596,0.001736747
0.189003844,0.005723682,0.001833438
0.197330448,0.010425169,0.00197671
0.201471367,0.012238794,0.002016087
0.205596943,0.012656326,0.002053999
0.209706862,0.012412017,0.002044032
0.213800811,0.017622003,0.002179917
0.217878478,0.014535584,0.002118818
0.221939553,0.020863515,0.002268136
0.225983726,0.019876003,0.002246395
0.23001069,0.025601283,0.002393973
0.234020138,0.023347762,0.002347092
0.238011764,0.019363363,0.002266755
0.241985264,0.019283701,0.002273988
0.245940337,0.016376147,0.002207854
0.24987668,0.015196824,0.002196655
0.253793994,0.012663975,0.002159839
0.257691981,0.011977305,0.002145109
0.261570343,0.009166047,0.002086197
0.269267015,0.008044617,0.002064052
0.276881666,0.003721918,0.001977668
0.284411977,0.004814807,0.002027953
0.291855652,0.00637253,0.002082431
0.299210425,0.001732561,0.001991228
0.306474056,0.002397628,0.0020282
