voltage,current,left,right,radius,radius_m,unc,r^2,uncertainty,em,errorbar
130,1.50,7.75,11.90,9.825,0.09825,3.54E-04,9.6531E-03,1.25E-07,2.89E+11,9.85E+09
150,1.50,7.50,12.50,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.30E+11,6.50E+09
170,1.50,7.50,12.50,10.000,0.10000,3.54E-04,1.0000E-02,1.25E-07,2.60E+11,7.37E+09
190,1.50,7.10,12.50,9.800,0.09800,3.54E-04,9.6040E-03,1.25E-07,2.50E+11,6.54E+09
210,1.50,7.20,12.50,9.850,0.09850,3.54E-04,9.7023E-03,1.25E-07,2.86E+11,7.64E+09
